Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Horse ID,Average depth-of-coverage,Breed_Info,1,2,ID_approx
SRR515202,WGS,208,46949126224,PRJNA168142,SAMN01047694,31238111077,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX152739,Illumina HiSeq 2000,Thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb2,SRP013636,Thor_0278A_SAMN01047694,10.61,Thoroughbred,Thor,0278A,SAMN01047694
SRR515203,WGS,208,47826739584,PRJNA168142,SAMN01047695,32176855739,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX152741,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb3,SRP013636,Thor_0279A_SAMN01047695,10.78,Thoroughbred,Thor,0279A,SAMN01047695
SRR515204,WGS,208,46547597616,PRJNA168142,SAMN01047696,31183090060,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX155566,Illumina HiSeq 2000,throughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb4,SRP013636,Thor_0280A_SAMN01047696,12.23,Thoroughbred,Thor,0280A,SAMN01047696
SRR515205,WGS,208,45760290992,PRJNA168142,SAMN01047697,30518940420,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX155567,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb5,SRP013636,Thor_0281A_SAMN01047697,11.39,Thoroughbred,Thor,0281A,SAMN01047697
SRR515206,WGS,208,51010361168,PRJNA168142,SAMN01047698,35074350927,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX155568,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb6,SRP013636,Thor_0282A_SAMN01047698,11.92,Thoroughbred,Thor,0282A,SAMN01047698
SRR515208,WGS,208,53189700720,PRJNA168142,SAMN01047699,37444866179,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX155569,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb7,SRP013636,Thor_0283A_SAMN01047699,11.33,Thoroughbred,Thor,0283A,SAMN01047699
SRR515209,WGS,208,42367046176,PRJNA168142,SAMN01047700,27296968642,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX155570,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb8,SRP013636,Thor_0284A_SAMN01047700,10.77,Thoroughbred,Thor,0284A,SAMN01047700
SRR515211,WGS,208,43369195792,PRJNA168142,SAMN01047701,28102335043,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX155571,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb9,SRP013636,Thor_0285A_SAMN01047701,10.28,Thoroughbred,Thor,0285A,SAMN01047701
SRR515212,WGS,208,41784631616,PRJNA168142,SAMN01047702,26881239966,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX155572,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb10,SRP013636,Thor_0286A_SAMN01047702,13.13,Thoroughbred,Thor,0286A,SAMN01047702
SRR515213,WGS,208,51296597664,PRJNA168142,SAMN01047703,34828567732,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX155573,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb11,SRP013636,Thor_0287A_SAMN01047703,11.33,Thoroughbred,Thor,0287A,SAMN01047703
